map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_cbs1\map1_10_800.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_801.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_802.txt,236,234,0.3218551,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0769230769230769-1.0-1.0
instances\experiment2_cbs1\map1_10_803.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_804.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_805.txt,246,246,0.2865238,1.0384615384615385-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_806.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_807.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_808.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_809.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_810.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_811.txt,237,237,0.0666402,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_812.txt,243,243,1.0111148,1.0-1.0476190476190477-1.0-1.08-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_813.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_814.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_815.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_816.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_817.txt,225,224,1.1901319,1.0909090909090908-1.04-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_818.txt,230,229,0.1373899,1.0-1.0-1.0-1.0-1.037037037037037-1.0-1.0476190476190477-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_819.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_820.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_821.txt,233,232,0.6201076,1.0-1.0-1.0-1.0-1.0909090909090908-1.0-1.0-1.0-1.05-1.0
instances\experiment2_cbs1\map1_10_822.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_823.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_824.txt,234,233,0.0833277,1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0416666666666667-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_825.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_826.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_827.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_828.txt,228,225,0.370367,1.0-1.0476190476190477-1.0-1.0-1.0476190476190477-1.0-1.0-1.0416666666666667-1.0-1.0
instances\experiment2_cbs1\map1_10_829.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_830.txt,228,226,0.0770021,1.0-1.0434782608695652-1.0-1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_831.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_832.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_833.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_834.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_835.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_836.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_837.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_838.txt,228,227,0.7445371,1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0-1.1-1.0-1.0
instances\experiment2_cbs1\map1_10_839.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_840.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_841.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_842.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_843.txt,228,227,0.1069734,1.0-1.0-1.0476190476190477-1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0
instances\experiment2_cbs1\map1_10_844.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_845.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_846.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_847.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_848.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_849.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_850.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_851.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_852.txt,999999,999999,999999,999999
instances\experiment2_cbs1\map1_10_853.txt,999999,999999,999999,999999
