map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_cbs2\map1_10_1037.txt,235,235,0.8786643,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1038.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1039.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1040.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1041.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1042.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1043.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1044.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1045.txt,223,223,0.711803,1.0-1.0-1.0-1.0-1.0-1.0909090909090908-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1046.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1047.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1048.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1049.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1050.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1051.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1052.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1053.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1054.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1055.txt,238,238,1.1958082,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.0-1.0
instances\experiment2_cbs2\map1_10_1056.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1057.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1058.txt,242,241,1.0622694,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0384615384615385-1.0
instances\experiment2_cbs2\map1_10_1059.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1060.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1061.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1062.txt,232,232,1.0859421,1.0-1.0-1.0-1.0869565217391304-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1063.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1064.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1065.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1066.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1067.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1068.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1069.txt,224,223,0.4174927,1.0-1.0-1.0476190476190477-1.0-1.0-1.05-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1070.txt,243,243,0.0646251,1.0-1.04-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1071.txt,230,229,0.1354942,1.0-1.0-1.0476190476190477-1.0-1.0434782608695652-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1072.txt,240,239,0.9481734,1.0454545454545454-1.0-1.0869565217391304-1.0-1.0-1.0-1.0-1.037037037037037-1.0-1.0
instances\experiment2_cbs2\map1_10_1073.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1074.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1075.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1076.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1077.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1078.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1079.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1080.txt,245,244,0.1155125,1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0357142857142858
instances\experiment2_cbs2\map1_10_1081.txt,232,230,1.441302,1.0-1.0-1.0434782608695652-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0476190476190477
instances\experiment2_cbs2\map1_10_1082.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1083.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1084.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1085.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1086.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1087.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1088.txt,239,239,0.5376853,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1089.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1090.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1091.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1092.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1093.txt,233,232,0.070642,1.0-1.0-1.0416666666666667-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.0
instances\experiment2_cbs2\map1_10_1094.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1095.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1096.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1097.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1098.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1099.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1100.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1101.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1102.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1103.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1104.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1105.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1106.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1107.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1108.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1109.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1110.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1111.txt,229,228,0.2081993,1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0-1.0-1.0476190476190477
instances\experiment2_cbs2\map1_10_1112.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1113.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1114.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1115.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1116.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1117.txt,232,231,0.4537495,1.0476190476190477-1.0-1.1-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1118.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1119.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1120.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1121.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1122.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1123.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1124.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1125.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1126.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1127.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1128.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1129.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1130.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1131.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1132.txt,234,233,0.035142,1.0-1.0-1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1133.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1134.txt,234,234,0.0642002,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1135.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1136.txt,223,221,1.1593948,1.0-1.0-1.0416666666666667-1.105263157894737-1.0-1.0-1.0-1.0-1.0454545454545454-1.0
instances\experiment2_cbs2\map1_10_1137.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1138.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1139.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1140.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1141.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1142.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1143.txt,232,232,0.049461,1.0-1.0-1.0-1.0-1.0476190476190477-1.0-1.0-1.0-1.0-1.0952380952380953
instances\experiment2_cbs2\map1_10_1144.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1145.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1146.txt,238,236,0.1520026,1.0-1.0-1.0-1.0714285714285714-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_1147.txt,243,242,0.1621793,1.037037037037037-1.0-1.0-1.0-1.0-1.0-1.0-1.0434782608695652-1.0-1.0
instances\experiment2_cbs2\map1_10_1148.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_1149.txt,238,238,0.1281551,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_975.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_976.txt,230,227,0.6537347,1.0-1.0-1.0909090909090908-1.0-1.0-1.0416666666666667-1.0454545454545454-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_977.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_978.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_979.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_980.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_981.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_982.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_983.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_984.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_985.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_986.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_987.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_988.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_989.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_990.txt,229,226,0.1581108,1.0-1.0-1.0869565217391304-1.0-1.05-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_10_991.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_992.txt,241,240,0.1199254,1.0-1.0-1.0-1.0-1.0-1.04-1.0-1.0-1.0-1.0357142857142858
instances\experiment2_cbs2\map1_10_993.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_994.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_995.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_996.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_997.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_998.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_10_999.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1000.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1001.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1002.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1003.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1004.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1005.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1006.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1007.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1008.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1009.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1010.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1011.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1012.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1013.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1014.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1015.txt,278,275,1.3569258,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0952380952380953-1.0-1.0-1.0476190476190477-1.0454545454545454
instances\experiment2_cbs2\map1_12_1016.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1017.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1018.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1019.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1020.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1021.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1022.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1023.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1024.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1025.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1026.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1027.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1028.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1029.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1030.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1031.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1032.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1033.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1034.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1035.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1036.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1037.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1038.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1039.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1040.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1041.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1042.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1043.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1044.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1045.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1046.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1047.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1048.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1049.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1050.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1051.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1052.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1053.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1054.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1055.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1056.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1057.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1058.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1059.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1060.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1061.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1062.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1063.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1064.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1065.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1066.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1067.txt,277,276,0.8703084,1.0-1.0-1.037037037037037-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs2\map1_12_1068.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1069.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1070.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1071.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1072.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1073.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1074.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1075.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1076.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1077.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1078.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1079.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1080.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1081.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1082.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1083.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1084.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1085.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1086.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1087.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1088.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1089.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1090.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1091.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1092.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1093.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1094.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1095.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1096.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1097.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1098.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1099.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1100.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1101.txt,273,271,0.6416235,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0952380952380953-1.0-1.0-1.0454545454545454
instances\experiment2_cbs2\map1_12_1102.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1103.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1104.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1105.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1106.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1107.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1108.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1109.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1110.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1111.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1112.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1113.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1114.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1115.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1116.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1117.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1118.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1119.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1120.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1121.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1122.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1123.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1124.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1125.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1126.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1127.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1128.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1129.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1130.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1131.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1132.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1133.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1134.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1135.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1136.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1137.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1138.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1139.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1140.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1141.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1142.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1143.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1144.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1145.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1146.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1147.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1148.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_1149.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_975.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_976.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_977.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_978.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_979.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_980.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_981.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_982.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_983.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_984.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_985.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_986.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_987.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_988.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_989.txt,999999,999999,999999,999999
instances\experiment2_cbs2\map1_12_990.txt,999999,999999,999999,999999
