map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_cbs4\map1_10_1325.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1326.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1327.txt,237,236,0.0443373,1.0-1.0-1.0-1.0-1.0-1.0416666666666667-1.0-1.0384615384615385-1.0-1.0
instances\experiment2_cbs4\map1_10_1328.txt,234,232,0.6838785,1.0476190476190477-1.0-1.0909090909090908-1.0-1.0-1.0-1.0-1.0909090909090908-1.0-1.0
instances\experiment2_cbs4\map1_10_1329.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1330.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1331.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1332.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1333.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1334.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1335.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1336.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1337.txt,241,241,0.2527686,1.0-1.0-1.0-1.0-1.0-1.0-1.0454545454545454-1.0-1.0-1.0
instances\experiment2_cbs4\map1_10_1338.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1339.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1340.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1341.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1342.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1343.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1344.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1345.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1346.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1347.txt,228,227,0.5626169,1.0-1.0-1.0-1.0-1.0-1.0416666666666667-1.0454545454545454-1.0-1.0-1.0
instances\experiment2_cbs4\map1_10_1348.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1349.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1350.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1351.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1352.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1353.txt,233,229,1.4744414,1.1-1.0-1.0384615384615385-1.04-1.0-1.0-1.0-1.0-1.0-1.0
instances\experiment2_cbs4\map1_10_1354.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1355.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1356.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1357.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1358.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1359.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1360.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1361.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1362.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1363.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1364.txt,999999,999999,999999,999999
instances\experiment2_cbs4\map1_10_1365.txt,231,230,0.4055963,1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0
